day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,RAINFOREST_RESIN,9998,9,9995.0,23.0,,,10005,23,,,,,10001.5,0.0
1,100,RAINFOREST_RESIN,10002,1,10000.0,2.0,9998.0,4.0,10004,1,10005.0,21.0,,,10003.0,0.0
1,200,RAINFOREST_RESIN,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,0.0
1,300,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000.0,0.0
1,400,RAINFOREST_RESIN,9998,8,9996.0,2.0,9995.0,26.0,10004,2,10005.0,26.0,,,10001.0,0.0
1,500,RAINFOREST_RESIN,9998,8,9996.0,1.0,9995.0,23.0,10004,1,10005.0,23.0,,,10001.0,0.0
1,600,RAINFOREST_RESIN,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,0.0
1,700,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
1,800,RAINFOREST_RESIN,9996,1,9995.0,24.0,,,10000,3,10004.0,1.0,10005.0,24.0,9998.0,0.0
1,900,RAINFOREST_RESIN,9996,1,9995.0,20.0,,,9998,11,10004.0,1.0,10005.0,20.0,9997.0,0.0
1,1000,RAINFOREST_RESIN,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,0.0
1,1100,RAINFOREST_RESIN,9996,1,9995.0,21.0,,,10002,6,10004.0,1.0,10005.0,21.0,9999.0,0.0
1,1200,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
1,1300,RAINFOREST_RESIN,10002,1,9995.0,25.0,,,10005,25,,,,,10003.5,0.0
1,1400,RAINFOREST_RESIN,9995,23,,,,,10000,6,10005.0,23.0,,,9997.5,0.0
1,1500,RAINFOREST_RESIN,9996,1,9995.0,20.0,,,9998,4,10004.0,1.0,10005.0,20.0,9997.0,0.0
1,1600,RAINFOREST_RESIN,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,0.0
1,1700,RAINFOREST_RESIN,9995,28,,,,,10005,28,,,,,10000.0,0.0
1,1800,RAINFOREST_RESIN,10000,4,9995.0,23.0,,,10002,10,10005.0,23.0,,,10001.0,0.0
1,1900,RAINFOREST_RESIN,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0
1,2000,RAINFOREST_RESIN,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,0.0
1,2100,RAINFOREST_RESIN,9996,2,9995.0,26.0,,,10004,2,10005.0,26.0,,,10000.0,0.0
1,2200,RAINFOREST_RESIN,9996,1,9995.0,20.0,,,9998,4,10004.0,1.0,10005.0,20.0,9997.0,0.0
1,2300,RAINFOREST_RESIN,9996,2,9995.0,22.0,,,10004,2,10005.0,22.0,,,10000.0,0.0
1,2400,RAINFOREST_RESIN,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0,0.0
1,2500,RAINFOREST_RESIN,9998,3,9996.0,2.0,9995.0,21.0,10004,2,10005.0,21.0,,,10001.0,0.0
